"driver_year","season","total_points","position"
"HAM_2018",2018,408,1
"VET_2018",2018,320,2
"RAI_2018",2018,251,3
"VER_2018",2018,249,4
"BOT_2018",2018,247,5
"RIC_2018",2018,170,6
"HUL_2018",2018,69,7
"PER_2018",2018,62,8
"MAG_2018",2018,56,9
"SAI_2018",2018,53,10
"ALO_2018",2018,50,11
"OCO_2018",2018,49,12
"LEC_2018",2018,39,13
"GRO_2018",2018,37,14
"GAS_2018",2018,29,15
"VAN_2018",2018,12,16
"ERI_2018",2018,9,17
"STR_2018",2018,6,18
"HAR_2018",2018,4,19
"SIR_2018",2018,1,20
"HAM_2019",2019,413,1
"BOT_2019",2019,326,2
"VER_2019",2019,278,3
"LEC_2019",2019,264,4
"VET_2019",2019,240,5
"SAI_2019",2019,96,6
"GAS_2019",2019,95,7
"ALB_2019",2019,92,8
"RIC_2019",2019,54,9
"PER_2019",2019,52,10
"NOR_2019",2019,49,11
"RAI_2019",2019,43,12
"HUL_2019",2019,37,13
"KVY_2019",2019,37,14
"STR_2019",2019,21,15
"MAG_2019",2019,20,16
"GIO_2019",2019,14,17
"GRO_2019",2019,8,18
"KUB_2019",2019,1,19
"RUS_2019",2019,0,20
"HAM_2020",2020,347,1
"BOT_2020",2020,223,2
"VER_2020",2020,214,3
"PER_2020",2020,125,4
"RIC_2020",2020,119,5
"ALB_2020",2020,105,6
"SAI_2020",2020,105,7
"LEC_2020",2020,98,8
"NOR_2020",2020,97,9
"GAS_2020",2020,75,10
"STR_2020",2020,75,11
"OCO_2020",2020,62,12
"VET_2020",2020,33,13
"KVY_2020",2020,32,14
"HUL_2020",2020,10,15
"GIO_2020",2020,4,16
"RAI_2020",2020,4,17
"RUS_2020",2020,3,18
"GRO_2020",2020,2,19
"MAG_2020",2020,1,20
"AIT_2020",2020,0,21
"FIT_2020",2020,0,22
"LAT_2020",2020,0,23
"VER_2021",2021,388.5,1
"HAM_2021",2021,385.5,2
"BOT_2021",2021,219,3
"PER_2021",2021,190,4
"SAI_2021",2021,163.5,5
"NOR_2021",2021,160,6
"LEC_2021",2021,159,7
"RIC_2021",2021,114,8
"GAS_2021",2021,110,9
"ALO_2021",2021,81,10
"OCO_2021",2021,74,11
"VET_2021",2021,43,12
"STR_2021",2021,34,13
"TSU_2021",2021,32,14
"RUS_2021",2021,16,15
"RAI_2021",2021,10,16
"LAT_2021",2021,7,17
"GIO_2021",2021,3,18
"KUB_2021",2021,0,19
"MAZ_2021",2021,0,20
"MSC_2021",2021,0,21
"VER_2022",2022,433,1
"LEC_2022",2022,291,2
"PER_2022",2022,291,3
"RUS_2022",2022,262,4
"HAM_2022",2022,233,5
"SAI_2022",2022,228,6
"NOR_2022",2022,116,7
"OCO_2022",2022,89,8
"ALO_2022",2022,81,9
"BOT_2022",2022,47,10
"VET_2022",2022,37,11
"RIC_2022",2022,34,12
"GAS_2022",2022,23,13
"MAG_2022",2022,21,14
"STR_2022",2022,18,15
"MSC_2022",2022,12,16
"TSU_2022",2022,12,17
"ZHO_2022",2022,6,18
"ALB_2022",2022,4,19
"DEV_2022",2022,2,20
"LAT_2022",2022,2,21
"HUL_2022",2022,0,22
"VER_2023",2023,530,1
"PER_2023",2023,260,2
"HAM_2023",2023,217,3
"ALO_2023",2023,198,4
"LEC_2023",2023,185,5
"NOR_2023",2023,184,6
"SAI_2023",2023,178,7
"RUS_2023",2023,157,8
"PIA_2023",2023,82,9
"STR_2023",2023,68,10
"OCO_2023",2023,56,11
"GAS_2023",2023,54,12
"ALB_2023",2023,25,13
"TSU_2023",2023,14,14
"BOT_2023",2023,10,15
"HUL_2023",2023,6,16
"RIC_2023",2023,6,17
"ZHO_2023",2023,6,18
"MAG_2023",2023,3,19
"LAW_2023",2023,2,20
"SAR_2023",2023,1,21
"DEV_2023",2023,0,22
