"driver_year","count_wins"
"AIT_2020",0
"ALB_2019",0
"ALB_2020",0
"ALB_2022",0
"ALB_2023",0
"ALO_2018",0
"ALO_2021",0
"ALO_2022",0
"ALO_2023",0
"BOT_2018",0
"BOT_2019",4
"BOT_2020",2
"BOT_2021",1
"BOT_2022",0
"BOT_2023",0
"DEV_2022",0
"DEV_2023",0
"ERI_2018",0
"FIT_2020",0
"GAS_2018",0
"GAS_2019",0
"GAS_2020",1
"GAS_2021",0
"GAS_2022",0
"GAS_2023",0
"GIO_2019",0
"GIO_2020",0
"GIO_2021",0
"GRO_2018",0
"GRO_2019",0
"GRO_2020",0
"HAM_2018",11
"HAM_2019",11
"HAM_2020",11
"HAM_2021",8
"HAM_2022",0
"HAM_2023",0
"HAR_2018",0
"HUL_2018",0
"HUL_2019",0
"HUL_2020",0
"HUL_2022",0
"HUL_2023",0
"KUB_2019",0
"KUB_2021",0
"KVY_2019",0
"KVY_2020",0
"LAT_2020",0
"LAT_2021",0
"LAT_2022",0
"LAW_2023",0
"LEC_2018",0
"LEC_2019",2
"LEC_2020",0
"LEC_2021",0
"LEC_2022",3
"LEC_2023",0
"MAG_2018",0
"MAG_2019",0
"MAG_2020",0
"MAG_2022",0
"MAG_2023",0
"MAZ_2021",0
"MSC_2021",0
"MSC_2022",0
"NOR_2019",0
"NOR_2020",0
"NOR_2021",0
"NOR_2022",0
"NOR_2023",0
"OCO_2018",0
"OCO_2020",0
"OCO_2021",1
"OCO_2022",0
"OCO_2023",0
"PER_2018",0
"PER_2019",0
"PER_2020",1
"PER_2021",1
"PER_2022",2
"PER_2023",2
"PIA_2023",0
"RAI_2018",1
"RAI_2019",0
"RAI_2020",0
"RAI_2021",0
"RIC_2018",2
"RIC_2019",0
"RIC_2020",0
"RIC_2021",1
"RIC_2022",0
"RIC_2023",0
"RUS_2019",0
"RUS_2020",0
"RUS_2021",0
"RUS_2022",1
"RUS_2023",0
"SAI_2018",0
"SAI_2019",0
"SAI_2020",0
"SAI_2021",0
"SAI_2022",1
"SAI_2023",1
"SAR_2023",0
"SIR_2018",0
"STR_2018",0
"STR_2019",0
"STR_2020",0
"STR_2021",0
"STR_2022",0
"STR_2023",0
"TSU_2021",0
"TSU_2022",0
"TSU_2023",0
"VAN_2018",0
"VER_2018",2
"VER_2019",3
"VER_2020",2
"VER_2021",10
"VER_2022",15
"VER_2023",19
"VET_2018",5
"VET_2019",1
"VET_2020",0
"VET_2021",0
"VET_2022",0
"ZHO_2022",0
"ZHO_2023",0
