"driver","season","driver_year"
"Sebastian Vettel",2018,"VET_2018"
"Lewis Hamilton",2018,"HAM_2018"
"Kimi Räikkönen",2018,"RAI_2018"
"Daniel Ricciardo",2018,"RIC_2018"
"Fernando Alonso",2018,"ALO_2018"
"Max Verstappen",2018,"VER_2018"
"Nico Hulkenberg",2018,"HUL_2018"
"Valtteri Bottas",2018,"BOT_2018"
"Stoffel Vandoorne",2018,"VAN_2018"
"Carlos Sainz",2018,"SAI_2018"
"Sergio Perez",2018,"PER_2018"
"Esteban Ocon",2018,"OCO_2018"
"Charles Leclerc",2018,"LEC_2018"
"Lance Stroll",2018,"STR_2018"
"Brendon Hartley",2018,"HAR_2018"
"Romain Grosjean",2018,"GRO_2018"
"Kevin Magnussen",2018,"MAG_2018"
"Pierre Gasly",2018,"GAS_2018"
"Marcus Ericsson",2018,"ERI_2018"
"Sergey Sirotkin",2018,"SIR_2018"
"Valtteri Bottas",2019,"BOT_2019"
"Lewis Hamilton",2019,"HAM_2019"
"Max Verstappen",2019,"VER_2019"
"Sebastian Vettel",2019,"VET_2019"
"Charles Leclerc",2019,"LEC_2019"
"Kevin Magnussen",2019,"MAG_2019"
"Nico Hulkenberg",2019,"HUL_2019"
"Kimi Räikkönen",2019,"RAI_2019"
"Lance Stroll",2019,"STR_2019"
"Daniil Kvyat",2019,"KVY_2019"
"Pierre Gasly",2019,"GAS_2019"
"Lando Norris",2019,"NOR_2019"
"Sergio Perez",2019,"PER_2019"
"Alexander Albon",2019,"ALB_2019"
"Antonio Giovinazzi",2019,"GIO_2019"
"George Russell",2019,"RUS_2019"
"Robert Kubica",2019,"KUB_2019"
"Romain Grosjean",2019,"GRO_2019"
"Daniel Ricciardo",2019,"RIC_2019"
"Carlos Sainz",2019,"SAI_2019"
"Valtteri Bottas",2020,"BOT_2020"
"Charles Leclerc",2020,"LEC_2020"
"Lando Norris",2020,"NOR_2020"
"Lewis Hamilton",2020,"HAM_2020"
"Carlos Sainz",2020,"SAI_2020"
"Sergio Perez",2020,"PER_2020"
"Pierre Gasly",2020,"GAS_2020"
"Esteban Ocon",2020,"OCO_2020"
"Antonio Giovinazzi",2020,"GIO_2020"
"Sebastian Vettel",2020,"VET_2020"
"Nicholas Latifi",2020,"LAT_2020"
"Daniil Kvyat",2020,"KVY_2020"
"Alexander Albon",2020,"ALB_2020"
"Kimi Räikkönen",2020,"RAI_2020"
"George Russell",2020,"RUS_2020"
"Romain Grosjean",2020,"GRO_2020"
"Kevin Magnussen",2020,"MAG_2020"
"Lance Stroll",2020,"STR_2020"
"Daniel Ricciardo",2020,"RIC_2020"
"Max Verstappen",2020,"VER_2020"
"Nico Hulkenberg",2020,"HUL_2020"
"Jack Aitken",2020,"AIT_2020"
"Pietro Fittipaldi",2020,"FIT_2020"
"Lewis Hamilton",2021,"HAM_2021"
"Max Verstappen",2021,"VER_2021"
"Valtteri Bottas",2021,"BOT_2021"
"Lando Norris",2021,"NOR_2021"
"Sergio Perez",2021,"PER_2021"
"Charles Leclerc",2021,"LEC_2021"
"Daniel Ricciardo",2021,"RIC_2021"
"Carlos Sainz",2021,"SAI_2021"
"Yuki Tsunoda",2021,"TSU_2021"
"Lance Stroll",2021,"STR_2021"
"Kimi Räikkönen",2021,"RAI_2021"
"Antonio Giovinazzi",2021,"GIO_2021"
"Esteban Ocon",2021,"OCO_2021"
"George Russell",2021,"RUS_2021"
"Sebastian Vettel",2021,"VET_2021"
"Mick Schumacher",2021,"MSC_2021"
"Pierre Gasly",2021,"GAS_2021"
"Nicholas Latifi",2021,"LAT_2021"
"Fernando Alonso",2021,"ALO_2021"
"Nikita Mazepin",2021,"MAZ_2021"
"Robert Kubica",2021,"KUB_2021"
"Charles Leclerc",2022,"LEC_2022"
"Carlos Sainz",2022,"SAI_2022"
"Lewis Hamilton",2022,"HAM_2022"
"George Russell",2022,"RUS_2022"
"Kevin Magnussen",2022,"MAG_2022"
"Valtteri Bottas",2022,"BOT_2022"
"Esteban Ocon",2022,"OCO_2022"
"Yuki Tsunoda",2022,"TSU_2022"
"Fernando Alonso",2022,"ALO_2022"
"Zhou Guanyu",2022,"ZHO_2022"
"Mick Schumacher",2022,"MSC_2022"
"Lance Stroll",2022,"STR_2022"
"Alexander Albon",2022,"ALB_2022"
"Daniel Ricciardo",2022,"RIC_2022"
"Lando Norris",2022,"NOR_2022"
"Nicholas Latifi",2022,"LAT_2022"
"Nico Hulkenberg",2022,"HUL_2022"
"Sergio Perez",2022,"PER_2022"
"Max Verstappen",2022,"VER_2022"
"Pierre Gasly",2022,"GAS_2022"
"Sebastian Vettel",2022,"VET_2022"
"Nyck De Vries",2022,"DEV_2022"
"Max Verstappen",2023,"VER_2023"
"Sergio Perez",2023,"PER_2023"
"Fernando Alonso",2023,"ALO_2023"
"Carlos Sainz",2023,"SAI_2023"
"Lewis Hamilton",2023,"HAM_2023"
"Lance Stroll",2023,"STR_2023"
"George Russell",2023,"RUS_2023"
"Valtteri Bottas",2023,"BOT_2023"
"Pierre Gasly",2023,"GAS_2023"
"Alexander Albon",2023,"ALB_2023"
"Yuki Tsunoda",2023,"TSU_2023"
"Logan Sargeant",2023,"SAR_2023"
"Kevin Magnussen",2023,"MAG_2023"
"Nyck De Vries",2023,"DEV_2023"
"Nico Hulkenberg",2023,"HUL_2023"
"Zhou Guanyu",2023,"ZHO_2023"
"Lando Norris",2023,"NOR_2023"
"Esteban Ocon",2023,"OCO_2023"
"Charles Leclerc",2023,"LEC_2023"
"Oscar Piastri",2023,"PIA_2023"
"Daniel Ricciardo",2023,"RIC_2023"
"Liam Lawson",2023,"LAW_2023"
