"driver_year","driver","season","Total_Points"
"AIT_2020","Jack Aitken",2020,0
"ALB_2019","Alexander Albon",2019,92
"ALB_2020","Alexander Albon",2020,105
"ALB_2022","Alexander Albon",2022,4
"ALB_2023","Alexander Albon",2023,25
"ALO_2018","Fernando Alonso",2018,50
"ALO_2021","Fernando Alonso",2021,81
"ALO_2022","Fernando Alonso",2022,81
"ALO_2023","Fernando Alonso",2023,198
"BOT_2018","Valtteri Bottas",2018,247
"BOT_2019","Valtteri Bottas",2019,326
"BOT_2020","Valtteri Bottas",2020,223
"BOT_2021","Valtteri Bottas",2021,219
"BOT_2022","Valtteri Bottas",2022,47
"BOT_2023","Valtteri Bottas",2023,10
"DEV_2022","Nyck De Vries",2022,2
"DEV_2023","Nyck De Vries",2023,0
"ERI_2018","Marcus Ericsson",2018,9
"FIT_2020","Pietro Fittipaldi",2020,0
"GAS_2018","Pierre Gasly",2018,29
"GAS_2019","Pierre Gasly",2019,95
"GAS_2020","Pierre Gasly",2020,75
"GAS_2021","Pierre Gasly",2021,110
"GAS_2022","Pierre Gasly",2022,23
"GAS_2023","Pierre Gasly",2023,54
"GIO_2019","Antonio Giovinazzi",2019,14
"GIO_2020","Antonio Giovinazzi",2020,4
"GIO_2021","Antonio Giovinazzi",2021,3
"GRO_2018","Romain Grosjean",2018,37
"GRO_2019","Romain Grosjean",2019,8
"GRO_2020","Romain Grosjean",2020,2
"HAM_2018","Lewis Hamilton",2018,408
"HAM_2019","Lewis Hamilton",2019,413
"HAM_2020","Lewis Hamilton",2020,347
"HAM_2021","Lewis Hamilton",2021,385.5
"HAM_2022","Lewis Hamilton",2022,233
"HAM_2023","Lewis Hamilton",2023,217
"HAR_2018","Brendon Hartley",2018,4
"HUL_2018","Nico Hulkenberg",2018,69
"HUL_2019","Nico Hulkenberg",2019,37
"HUL_2020","Nico Hulkenberg",2020,10
"HUL_2022","Nico Hulkenberg",2022,0
"HUL_2023","Nico Hulkenberg",2023,6
"KUB_2019","Robert Kubica",2019,1
"KUB_2021","Robert Kubica",2021,0
"KVY_2019","Daniil Kvyat",2019,37
"KVY_2020","Daniil Kvyat",2020,32
"LAT_2020","Nicholas Latifi",2020,0
"LAT_2021","Nicholas Latifi",2021,7
"LAT_2022","Nicholas Latifi",2022,2
"LAW_2023","Liam Lawson",2023,2
"LEC_2018","Charles Leclerc",2018,39
"LEC_2019","Charles Leclerc",2019,264
"LEC_2020","Charles Leclerc",2020,98
"LEC_2021","Charles Leclerc",2021,159
"LEC_2022","Charles Leclerc",2022,291
"LEC_2023","Charles Leclerc",2023,185
"MAG_2018","Kevin Magnussen",2018,56
"MAG_2019","Kevin Magnussen",2019,20
"MAG_2020","Kevin Magnussen",2020,1
"MAG_2022","Kevin Magnussen",2022,21
"MAG_2023","Kevin Magnussen",2023,3
"MAZ_2021","Nikita Mazepin",2021,0
"MSC_2021","Mick Schumacher",2021,0
"MSC_2022","Mick Schumacher",2022,12
"NOR_2019","Lando Norris",2019,49
"NOR_2020","Lando Norris",2020,97
"NOR_2021","Lando Norris",2021,160
"NOR_2022","Lando Norris",2022,116
"NOR_2023","Lando Norris",2023,184
"OCO_2018","Esteban Ocon",2018,49
"OCO_2020","Esteban Ocon",2020,62
"OCO_2021","Esteban Ocon",2021,74
"OCO_2022","Esteban Ocon",2022,89
"OCO_2023","Esteban Ocon",2023,56
"PER_2018","Sergio Perez",2018,62
"PER_2019","Sergio Perez",2019,52
"PER_2020","Sergio Perez",2020,125
"PER_2021","Sergio Perez",2021,190
"PER_2022","Sergio Perez",2022,291
"PER_2023","Sergio Perez",2023,260
"PIA_2023","Oscar Piastri",2023,82
"RAI_2018","Kimi Räikkönen",2018,251
"RAI_2019","Kimi Räikkönen",2019,43
"RAI_2020","Kimi Räikkönen",2020,4
"RAI_2021","Kimi Räikkönen",2021,10
"RIC_2018","Daniel Ricciardo",2018,170
"RIC_2019","Daniel Ricciardo",2019,54
"RIC_2020","Daniel Ricciardo",2020,119
"RIC_2021","Daniel Ricciardo",2021,114
"RIC_2022","Daniel Ricciardo",2022,34
"RIC_2023","Daniel Ricciardo",2023,6
"RUS_2019","George Russell",2019,0
"RUS_2020","George Russell",2020,3
"RUS_2021","George Russell",2021,16
"RUS_2022","George Russell",2022,262
"RUS_2023","George Russell",2023,157
"SAI_2018","Carlos Sainz",2018,53
"SAI_2019","Carlos Sainz",2019,96
"SAI_2020","Carlos Sainz",2020,105
"SAI_2021","Carlos Sainz",2021,163.5
"SAI_2022","Carlos Sainz",2022,228
"SAI_2023","Carlos Sainz",2023,178
"SAR_2023","Logan Sargeant",2023,1
"SIR_2018","Sergey Sirotkin",2018,1
"STR_2018","Lance Stroll",2018,6
"STR_2019","Lance Stroll",2019,21
"STR_2020","Lance Stroll",2020,75
"STR_2021","Lance Stroll",2021,34
"STR_2022","Lance Stroll",2022,18
"STR_2023","Lance Stroll",2023,68
"TSU_2021","Yuki Tsunoda",2021,32
"TSU_2022","Yuki Tsunoda",2022,12
"TSU_2023","Yuki Tsunoda",2023,14
"VAN_2018","Stoffel Vandoorne",2018,12
"VER_2018","Max Verstappen",2018,249
"VER_2019","Max Verstappen",2019,278
"VER_2020","Max Verstappen",2020,214
"VER_2021","Max Verstappen",2021,388.5
"VER_2022","Max Verstappen",2022,433
"VER_2023","Max Verstappen",2023,530
"VET_2018","Sebastian Vettel",2018,320
"VET_2019","Sebastian Vettel",2019,240
"VET_2020","Sebastian Vettel",2020,33
"VET_2021","Sebastian Vettel",2021,43
"VET_2022","Sebastian Vettel",2022,37
"ZHO_2022","Zhou Guanyu",2022,6
"ZHO_2023","Zhou Guanyu",2023,6
