"","Driver","Driver_Name_Abbreviation","2018","2019","2020","2021","2022","2023"
"1","Sebastian Vettel","VET",320,240,33,43,37,0
"2","Lewis Hamilton","HAM",408,413,347,385.5,233,217
"3","Kimi Räikkönen","RAI",251,43,4,10,0,0
"4","Daniel Ricciardo","RIC",170,54,119,114,34,6
"5","Fernando Alonso","ALO",50,0,0,81,81,198
"6","Max Verstappen","VER",249,278,214,388.5,433,530
"7","Nico Hulkenberg","HUL",69,37,10,0,0,6
"8","Valtteri Bottas","BOT",247,326,223,219,47,10
"9","Stoffel Vandoorne","VAN",12,0,0,0,0,0
"10","Carlos Sainz","SAI",53,96,105,163.5,228,178
"11","Sergio Perez","PER",62,52,125,190,291,260
"12","Esteban Ocon","OCO",49,0,62,74,89,56
"13","Charles Leclerc","LEC",39,264,98,159,291,185
"14","Lance Stroll","STR",6,21,75,34,18,68
"15","Brendon Hartley","HAR",4,0,0,0,0,0
"16","Romain Grosjean","GRO",37,8,2,0,0,0
"17","Kevin Magnussen","MAG",56,20,1,0,21,3
"18","Pierre Gasly","GAS",29,95,75,110,23,54
"19","Marcus Ericsson","ERI",9,0,0,0,0,0
"20","Sergey Sirotkin","SIR",1,0,0,0,0,0
"21","Daniil Kvyat","KVY",0,37,32,0,0,0
"22","Lando Norris","NOR",0,49,97,160,116,184
"23","Alexander Albon","ALB",0,92,105,0,4,25
"24","Antonio Giovinazzi","GIO",0,14,4,3,0,0
"25","George Russell","RUS",0,0,3,16,262,157
"26","Robert Kubica","KUB",0,1,0,0,0,0
"27","Nicholas Latifi","LAT",0,0,0,7,2,0
"28","Jack Aitken","AIT",0,0,0,0,0,0
"29","Pietro Fittipaldi","FIT",0,0,0,0,0,0
"30","Yuki Tsunoda","TSU",0,0,0,32,12,14
"31","Mick Schumacher","MSC",0,0,0,0,12,0
"32","Nikita Mazepin","MAZ",0,0,0,0,0,0
"33","Zhou Guanyu","ZHO",0,0,0,0,6,6
"34","Nyck De Vries","DEV",0,0,0,0,2,0
"35","Logan Sargeant","SAR",0,0,0,0,0,1
"36","Oscar Piastri","PIA",0,0,0,0,0,82
"37","Liam Lawson","LAW",0,0,0,0,0,2
