"driver_year","is_podium","count"
"AIT_2020","TRUE",0
"ALB_2019","TRUE",0
"ALB_2020","TRUE",2
"ALB_2022","TRUE",0
"ALB_2023","TRUE",0
"ALO_2018","TRUE",0
"ALO_2021","TRUE",1
"ALO_2022","TRUE",0
"ALO_2023","TRUE",8
"BOT_2018","TRUE",8
"BOT_2019","TRUE",15
"BOT_2020","TRUE",11
"BOT_2021","TRUE",11
"BOT_2022","TRUE",0
"BOT_2023","TRUE",0
"DEV_2022","TRUE",0
"DEV_2023","TRUE",0
"ERI_2018","TRUE",0
"FIT_2020","TRUE",0
"GAS_2018","TRUE",0
"GAS_2019","TRUE",1
"GAS_2020","TRUE",1
"GAS_2021","TRUE",1
"GAS_2022","TRUE",0
"GAS_2023","TRUE",1
"GIO_2019","TRUE",0
"GIO_2020","TRUE",0
"GIO_2021","TRUE",0
"GRO_2018","TRUE",0
"GRO_2019","TRUE",0
"GRO_2020","TRUE",0
"HAM_2018","TRUE",17
"HAM_2019","TRUE",17
"HAM_2020","TRUE",14
"HAM_2021","TRUE",17
"HAM_2022","TRUE",9
"HAM_2023","TRUE",7
"HAR_2018","TRUE",0
"HUL_2018","TRUE",0
"HUL_2019","TRUE",0
"HUL_2020","TRUE",0
"HUL_2022","TRUE",0
"HUL_2023","TRUE",0
"KUB_2019","TRUE",0
"KUB_2021","TRUE",0
"KVY_2019","TRUE",1
"KVY_2020","TRUE",0
"LAT_2020","TRUE",0
"LAT_2021","TRUE",0
"LAT_2022","TRUE",0
"LAW_2023","TRUE",0
"LEC_2018","TRUE",0
"LEC_2019","TRUE",10
"LEC_2020","TRUE",2
"LEC_2021","TRUE",1
"LEC_2022","TRUE",11
"LEC_2023","TRUE",6
"MAG_2018","TRUE",0
"MAG_2019","TRUE",0
"MAG_2020","TRUE",0
"MAG_2022","TRUE",0
"MAG_2023","TRUE",0
"MAZ_2021","TRUE",0
"MSC_2021","TRUE",0
"MSC_2022","TRUE",0
"NOR_2019","TRUE",0
"NOR_2020","TRUE",1
"NOR_2021","TRUE",4
"NOR_2022","TRUE",1
"NOR_2023","TRUE",7
"OCO_2018","TRUE",0
"OCO_2020","TRUE",1
"OCO_2021","TRUE",1
"OCO_2022","TRUE",0
"OCO_2023","TRUE",1
"PER_2018","TRUE",1
"PER_2019","TRUE",0
"PER_2020","TRUE",2
"PER_2021","TRUE",5
"PER_2022","TRUE",11
"PER_2023","TRUE",9
"PIA_2023","TRUE",2
"RAI_2018","TRUE",12
"RAI_2019","TRUE",0
"RAI_2020","TRUE",0
"RAI_2021","TRUE",0
"RIC_2018","TRUE",2
"RIC_2019","TRUE",0
"RIC_2020","TRUE",2
"RIC_2021","TRUE",1
"RIC_2022","TRUE",0
"RIC_2023","TRUE",0
"RUS_2019","TRUE",0
"RUS_2020","TRUE",0
"RUS_2021","TRUE",1
"RUS_2022","TRUE",8
"RUS_2023","TRUE",2
"SAI_2018","TRUE",0
"SAI_2019","TRUE",1
"SAI_2020","TRUE",1
"SAI_2021","TRUE",4
"SAI_2022","TRUE",9
"SAI_2023","TRUE",3
"SAR_2023","TRUE",0
"SIR_2018","TRUE",0
"STR_2018","TRUE",0
"STR_2019","TRUE",0
"STR_2020","TRUE",2
"STR_2021","TRUE",0
"STR_2022","TRUE",0
"STR_2023","TRUE",0
"TSU_2021","TRUE",0
"TSU_2022","TRUE",0
"TSU_2023","TRUE",0
"VAN_2018","TRUE",0
"VER_2018","TRUE",11
"VER_2019","TRUE",9
"VER_2020","TRUE",11
"VER_2021","TRUE",18
"VER_2022","TRUE",17
"VER_2023","TRUE",21
"VET_2018","TRUE",12
"VET_2019","TRUE",9
"VET_2020","TRUE",1
"VET_2021","TRUE",2
"VET_2022","TRUE",0
"ZHO_2022","TRUE",0
"ZHO_2023","TRUE",0
